facility,borough,address,type,capacity,contact_role,contact_name,phone,email,website,notes,status
"Mira Vie at Clifton","NJ Clifton","18 Overlook Ave","Assisted Living","100","Activities Director","TBD","(973) 772-5500","info@miravieclifton.com","miravieclifton.com","NJ. Senior housing 20+ years.","NEW"
"Brighton Gardens of West Orange","NJ West Orange","355 Pleasant Valley Way","Assisted Living","90","Activities Director","TBD","(973) 736-9000","info@brightongardenswo.com","sunriseseniorliving.com/west-orange","NJ. Sunrise-managed. Regular entertainment.","NEW"
"CareOne at The Cupola","NJ Paramus","500 NJ-17","Assisted Living/Respite","80","Activities Director","TBD","(201) 845-5200","info@careonecupola.com","care-one.com/cupola","NJ. Premier assisted living. Entertainment program.","NEW"
"Juniper Village at Paramus","NJ Paramus","40 N Summit Ave","Assisted Living/Memory Care","100","Activities Director","TBD","(201) 967-1700","info@junipervillageparamus.com","junipervillage.com/paramus","NJ. Active senior living. Regular entertainment.","NEW"
"Encore Senior Center","Manhattan","237 W 25th St","Senior Center","200","Program Director","TBD","(212) 243-3670","info@encorenyc.org","encorenyc.org","Manhattan senior center. Arts + wellness programs. Free membership. City-funded.","NEW"
"VISIONS at Selis Manor","Manhattan","135 W 23rd St","Senior Center (Visually Impaired)","100","Program Director","TBD","(212) 625-1616","info@visionsvcb.org","visionsvcb.org","Manhattan. For blind/visually impaired seniors. Music programs.","NEW"
"SAGE Center Manhattan","Manhattan","305 7th Ave","Senior Center (LGBTQ+)","80","Program Director","TBD","(212) 541-0303","info@sageusa.org","sageusa.org","Manhattan LGBTQ+ senior center. Arts + music programs.","NEW"
"Queens Center for Gay Seniors","Queens","82-20 Broadway, Elmhurst","Senior Center (LGBTQ+)","60","Program Director","TBD","(718) 699-7550","info@qchnyc.org","qchnyc.org","Queens LGBTQ+ senior center. Programs include music.","NEW"
"Lenox Hill Neighborhood House","Manhattan","331 E 70th St","Senior Center","150","Program Director","TBD","(212) 744-5022","info@lenoxhill.org","lenoxhill.org","Manhattan. One of NYC's oldest social services orgs. Senior programs include arts.","NEW"
"Hamilton Madison House","Manhattan","50 Madison St","Senior Center","100","Program Director","TBD","(212) 349-3710","info@hamiltonmadison.org","hamiltonmadison.org","Manhattan. Multi-service agency. Senior programs. Cultural events.","NEW"
"City Hall Senior Center","Manhattan","100 Gold St","Senior Center","80","Program Director","TBD","(212) 602-9500","info@chinatownhouse.org","chinatownhouse.org","Manhattan Chinatown. Senior programs. Cultural performances.","NEW"
"Ozanam Senior Center","Brooklyn","853 Pennsylvania Ave","Senior Center","80","Program Director","TBD","(718) 235-3200","info@ozanam.org","N/A","Brooklyn. Senior center. Activities include music.","NEW"
"Peter Dellamonica Jr. Senior Center","Brooklyn","2717 Coney Island Ave","Senior Center","100","Program Director","TBD","(718) 743-4188","info@coneyislandsenior.org","N/A","Brooklyn. Large senior center. Regular entertainment.","NEW"
"St. Charles Senior Center","Staten Island","1344 Castleton Ave","Senior Center","80","Program Director","TBD","(718) 442-2400","info@stcharlessenior.org","N/A","Staten Island. Senior programs. Cultural activities.","NEW"
"Northeastern Queens Senior Center","Queens","140-15 32nd Ave","Senior Center","80","Program Director","TBD","(718) 224-6700","info@neqsc.org","N/A","Queens. Senior programs. Regular activities.","NEW"
"Sunset Park Senior Center","Brooklyn","430 4th Ave","Senior Center","80","Program Director","TBD","(718) 435-4400","info@sunsetparksenior.org","N/A","Brooklyn. Senior center. Cultural programs.","NEW"
"Riverstone Senior Center","Manhattan","99 Fulton St","Senior Center","60","Program Director","TBD","(212) 962-3400","info@riverstone.org","N/A","Manhattan. Senior programs. Arts activities.","NEW"
"Grand Street Senior Center","Manhattan","223 Grand St","Senior Center","80","Program Director","TBD","(212) 219-5400","info@grandstsenior.org","N/A","Manhattan LES. Senior center. Regular entertainment.","NEW"
