venue,borough,address,capacity,genre,booking_contact,booking_email,website,booking_form,notes,type
"S.O.B.'s","SoHo","204 Varick St","200","World/Blues/Soul","info@sobs.com","info@sobs.com","sobs.com","No","Sounds of Brazil. World music, blues, soul. Good for diverse blues audience.","NEW"
"Drom","East Village","85 Avenue A","120","World/Jazz/Blues","info@dromnyc.com","info@dromnyc.com","dromnyc.com","No","Eclectic lineup. Jazz, rock, soul, international. East Village.","NEW"
"The Cutting Room","Murray Hill","44 E. 32nd St","150","Rock/Blues/Jazz","info@thecuttingroomnyc.com","info@thecuttingroomnyc.com","thecuttingroomnyc.com","No","Premier live music venue. Mixed genres. Dinner + music. Quality room.","NEW"
"Hill Country Barbecue","Chelsea","30 W. 26th St","200","Blues/Roots/Country","info@hillcountry.com","info@hillcountry.com","hillcountry.com","No","Texas BBQ + live music. Blues, roots, country booking. Great fit for cosmic blues.","NEW"
"Parkside Lounge","Lower East Side","317 E. Houston St","60","Rock/Blues/Indie","info@parksidelounge.nyc","info@parksidelounge.nyc","parksidelounge.nyc","No","Back room live entertainment 7 nights. Music, comedy, variety. Casual.","NEW"
"The Delancey","Lower East Side","168 Delancey St","100","Indie/Rock/Blues","booking@thedelancey.com","booking@thedelancey.com","thedelancey.com","No","Three-level club with downstairs music venue. LES.","NEW"
"Heaven Can Wait","East Village","169 Avenue A","60","Rock/Blues/Punk","info@heavencanwaitnyc.com","info@heavencanwaitnyc.com","heavencanwaitnyc.com","No","Bar + live music near Tompkins Square Park. East Village.","NEW"
"Otto's Shrunken Head","East Village","538 E. 14th St","50","Rock/Blues/Punk","info@ottosshrunkenhead.com","info@ottosshrunkenhead.com","ottosshrunkenhead.com","No","Tiki bar with back room live music. DIY vibe. Good for blues/rock.","NEW"
"Paddy Reilly's Music Bar","Murray Hill","519 Second Ave","60","Irish/Bluegrass/Folk","info@paddyreillys.com","info@paddyreillys.com","instagram.com/paddyreillys","No","Live bluegrass or Irish music 7 nights/week. Good for roots/blues crossover.","NEW"
"Fraunces Tavern","FiDi","54 Pearl St","80","Folk/Blues/Rock","info@frauncestavern.com","info@frauncestavern.com","frauncestavern.com","No","Historic FiDi bar. Live music in piano bar + weekends. Since 1762!","NEW"
"Terraza 7","Queens","40-19 Gleane St, Elmhurst","80","World/Jazz/Latin","info@terraza7.com","info@terraza7.com","terraza7.com","No","Queens live music hub. Community venue. Diverse genres. Elmhurst/Jackson Heights.","NEW"
"Pete's Candy Store","Brooklyn","709 Wyckoff Ave, Gowanus","60","Folk/Blues/Indie","info@petescandystore.com","info@petescandystore.com","petescandystore.com","No","Brooklyn back room venue. Folk, blues, indie. Bucket for band. Very intimate.","NEW"
"Friends and Lovers","Brooklyn","641 Classon Ave, Crown Heights","80","Indie/Rock/Blues","info@friendsandloversbk.com","info@friendsandloversbk.com","friendsandloversbk.com","No","Crown Heights bar + live music. Indie, rock, blues. Good neighborhood room.","NEW"
"Sunny's Bar","Brooklyn","253 Conover St, Red Hook","50","Folk/Blues/Roots","info.sunnysbar@gmail.com","info.sunnysbar@gmail.com","sunnysbar.com","No","Red Hook waterfront bar. Live music. Legendary vibe. Very atmospheric.","NEW"
"Moore's Place","Staten Island","2855 Amboy Rd","80","Blues/Jazz","info@mooresplacesi.com","info@mooresplacesi.com","N/A","No","Staten Island blues/jazz venue. Local scene. Worth the ferry.","NEW"
"Sista's Place","Brooklyn","210 Henderson Court, Crown Heights","50","Jazz/Blues","info@sistasplace.com","info@sistasplace.com","sistasplace.com","No","Brooklyn jazz/blues community venue. Intimate. Cultural.","NEW"
"Freddy's Bar","Brooklyn","627 5th Ave, Park Slope","60","Rock/Blues/Cabaret","info@freddysbar.com","info@freddysbar.com","freddysbar.com","No","Park Slope bar with live music. Rock, blues, cabaret. Neighborhood fixture.","NEW"
"The Brooklyn Firefly","Brooklyn","1011 Fulton St, Clinton Hill","50","Blues/Roots/Indie","info@brooklynfirefly.com","info@brooklynfirefly.com","N/A","No","Clinton Hill bar with live music. Blues, roots. Casual.","NEW"
