rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
33,Berlin,25 Avenue A,Manhattan (East Village),FIT,https://berlin.nyc,CONTACTED,2026-07-15,berlinundera@gmail.com,"Berlin Under A. Downstairs at 2A Bar. Live music venue, state-of-the-art sound, full backline. Perfect for cosmic blues. Use: berlinundera@gmail.com"
34,Bowery Palace,[NEED ADDRESS],Manhattan,FIT,https://www.bowerypalace.com,CONTACTED,2026-07-15,booking@bowerypalace.com,"Formerly Bowery Electric. Alt: booking@theboweryelectric.com. Website minimal. Need: address, phone."
35,Hard Rock Cafe NYC,1501 Broadway,Manhattan (Times Square),FIT,https://www.hardrock.com/cafes/new-york/,CONTACTED,2026-07-15,newyork.rocks@hardrock.com,Times Square location with live music stage. Contact: newyork.rocks@hardrock.com OR New_York_Social@hardrock.com
36,Fat Black Pussycat,130 W 3rd St,Manhattan (Greenwich Village),FIT,https://www.fatblackpussycat.com,CONTACTED,2026-07-15,info@fatblackpussycat.com,Historic Village bar with live blues/jazz. Small stage. Contact via email or walk-in.
37,Connolly's,121 W 45th St,Manhattan (Times Square),FIT,https://www.connollysnyc.com,CONTACTED,2026-07-15,manager@connollyscorner.com,Irish pub with live music nightly. Multiple rooms. Contact: manager@connollyscorner.com for bookings.
38,Irish Exit,978 2nd Ave,Manhattan (Midtown East),FIT,,CONTACTED,2026-07-15,hello@irishexit.com,Midtown Irish pub with live music. Contact: hello@irishexit.com OR victoria@irishexitnyc.com for private events.
39,Plug Uglies,257 3rd Ave,Manhattan (Gramercy),FIT,https://www.plugugliesnyc.com,CONTACTED,2026-07-15,info@plugugliesnyc.com,Gramercy pub with live music. Contact for acoustic/blues sets.
40,The Craic,60 W 39th St,Manhattan (Midtown),FIT,https://www.thecraicnyc.com,CONTACTED,2026-07-15,info@thecraicnyc.com,Midtown Irish pub with live music. Call or email for booking info.
41,12th Street Ale House,192 3rd Ave,Manhattan (Gramercy),CLOSED,,,,,PERMANENTLY CLOSED - Do not contact.
42,Gaffers Pub,154 E 55th St,Manhattan (Midtown),FIT,,CONTACTED,2026-07-15,info@gafferspub.com,Midtown pub with live music. Email for booking.
43,The Long Room,58 W 39th St,Manhattan (Midtown),FIT,https://www.thelongroomnyc.com,CONTACTED,2026-07-15,info@thelongroomnyc.com,Midtown Irish pub with live music. Contact via email.
44,Brady's Bar,158 E 33rd St,Manhattan (Midtown),FIT,,CONTACTED,2026-07-15,bradysbar-82@live.com,Neighborhood Irish pub with live music. Contact: bradysbar-82@live.com OR via their contact form.
45,The Whiskey Ward,121 Essex St,Manhattan (Lower East Side),FIT,,CONTACTED,2026-07-15,info@thewhiskeyward.com,Lower East Side whiskey bar with live music. Contact for blues/rock slots.
46,Fontana's,122 Eldridge St,Manhattan (Lower East Side),FIT,,CONTACTED,2026-07-15,info@fontanasnyc.com,Historic LES venue with live music. Email for booking info.
47,National Underground,159 E Houston St,Manhattan (Lower East Side),FIT,https://www.nationalunderground.com,CONTACTED,2026-07-15,info@nationalunderground.com,Live music venue and bar. Americana/blues focus. Contact via email.
48,The Back Room,102 Norfolk St,Manhattan (Lower East Side),FIT,https://www.thebackroomnyc.com,CONTACTED,2026-07-15,info@thebackroomnyc.com,Speakeasy-style bar with live music. Inquire about jazz/blues nights.
49,Le Poisson Rouge,158 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.lepoissonrouge.com,CONTACTED,2026-07-15,info@lepoissonrouge.com,Multi-genre music venue. Hard booking but worth trying. Use info@ for inquiries.
50,Joe's Pub,425 Lafayette St,Manhattan (East Village),FIT,https://www.joespub.com,CONTACTED,2026-07-15,info@joespub.com,Intimate venue at The Public Theater. Professional booking.
102,The Django at the Roxy,2 6th Ave,Manhattan (Tribeca),FIT,https://www.theroxyhotel.com/django,,,django@theroxyhotel.com,Jazz club in Roxy Hotel.
103,Hotel Chantelle,92 Ludlow St,Manhattan (Lower East Side),FIT,https://www.hotelchantelle.com,,,info@hotelchantelle.com,Rooftop bar with live music. French-American venue.
104,Montero Bar,73 Atlantic Ave,Brooklyn (Brooklyn Heights),FIT,,,,info@monterosbar.com,Long-standing Brooklyn dive bar. Live music occasionally.
105,Little Branch,20 7th Ave S,Manhattan (West Village),FIT,,,,info@littlebranch.net,Speakeasy-style cocktail bar. Occasional live jazz.
106,Ear Inn,326 Spring St,Manhattan (Soho),FIT,https://www.earinn.com,,,info@earinn.com,Historic bar with live music. Blues/jazz/roots focus.
107,Sunshine Laundromat,925 Fulton St,Brooklyn (Clinton Hill),FIT,https://www.sunshinelaundromatbk.com,,,info@sunshinelaundromatbk.com,Bar/laundromat with live music. Hipster spot.
108,The Commodore,366 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.commodoreny.com,,,info@commodoreny.com,Bar with live music. Southern comfort food.
109,Freddy's Bar,627 5th Ave,Brooklyn (Park Slope),FIT,https://www.freddysbar.com,,,info@freddysbar.com,Neighborhood bar with live music. Eclectic bookings.
110,Black Rabbit,91 Greenpoint Ave,Brooklyn (Greenpoint),FIT,https://www.blackrabbitrnyc.com,,,info@blackrabbitrnyc.com,Speakeasy-style bar. Live music on weekends.
111,The Richardson,451 Graham Ave,Brooklyn (Williamsburg),FIT,https://www.therichardsonnyc.com,,,info@therichardsonnyc.com,Cocktail bar with occasional live music.
112,The Gibson,108 Bedford Ave,Brooklyn (Williamsburg),FIT,https://www.thegibsonbk.com,,,info@thegibsonbk.com,Williamsburg cocktail bar. Occasional live music.
113,St. Mazie,345 Grand St,Brooklyn (Williamsburg),FIT,https://www.stmazie.com,,,info@stmazie.com,Williamsburg bar/restaurant. Live music downstairs.
114,The Cobra Club,6 Wyckoff Ave,Brooklyn (Bushwick),FIT,https://www.thecobraclub.com,,,booking@thecobraclub.com,Rock/metal bar with live music.
115,Trans Pecos,915 Wyckoff Ave,Brooklyn (Ridgewood),FIT,https://www.transpecosridgewood.com,,,booking@transpecosridgewood.com,Experimental music venue. Eclectic bookings.
116,The Footlight,465 Seneca Ave,Queens (Ridgewood),FIT,https://www.thefootlightbar.com,,,booking@thefootlightbar.com,Queens bar with live music. Local talent.
117,The Shillelagh Tavern,47-22 30th Ave,Queens (Astoria),FIT,https://www.theshillelaghta.com,,,info@theshillelaghta.com,Irish pub with live music. Americana/roots.
118,Q.E.D.,27-16 23rd Ave,Queens (Astoria),FIT,https://www.qedastoria.com,,,booking@qedastoria.com,Comedy/music venue. Acoustic-friendly.
119,The Bonnie,29-12 23rd Ave,Queens (Astoria),FIT,https://www.thebonnie.com,,,info@thebonnie.com,Astoria cocktail bar. Occasional live music.
120,The Ditty,29-04 Ditmars Blvd,Queens (Astoria),FIT,https://www.thedittynyc.com,,,info@thedittynyc.com,Neighborhood bar with live music.
121,The Sparrow Tavern,24-01 29th St,Queens (Astoria),FIT,https://www.thesparrowtavern.com,,,info@thesparrowtavern.com,Bar with live music. Americana/indie.
122,The Wolfhound,39-16 30th Ave,Queens (Astoria),FIT,https://www.thewolfhoundnyc.com,,,info@thewolfhoundnyc.com,Irish pub with live music.
123,The Quays,45-02 30th Ave,Queens (Astoria),FIT,https://www.thequaysnyc.com,,,info@thequaysnyc.com,Irish pub with traditional music sessions.
124,Rockaway Brewing Company,46-01 5th St,Queens (Long Island City),FIT,https://www.rockawaybrewco.com,,,events@rockawaybrewco.com,Brewery with live music events.
125,LIC Bar,45-58 Vernon Blvd,Queens (Long Island City),FIT,https://www.licbar.com,,,info@licbar.com,Long Island City neighborhood bar. Live music.
126,The Court Square Diner,45-25 Jackson Ave,Queens (Long Island City),FIT,https://www.courtsquarediner.com,,,info@courtsquarediner.com,Diner/bar with occasional live music.
127,The Creek and The Cave,10-93 Jackson Ave,Queens (Long Island City),FIT,https://www.creeklic.com,,,booking@creeklic.com,Comedy/music venue. Live performances.
128,The Pencil Factory,122 West St,Brooklyn (Greenpoint),FIT,https://www.thepencillfactory.com,,,info@thepencillfactory.com,Bar with live music. Roots/rock focus.
129,The Lot Radio,17 Nassau Ave,Brooklyn (Greenpoint),FIT,https://www.thelotradio.com,,,info@thelotradio.com,Radio station/bar. Live DJ sets and music.
130,Pete's Candy Store,709 Lorimer St,Brooklyn (Williamsburg),FIT,https://www.petescandystore.com,,,info@petescandystore.com,Intimate back room. Free music series.
131,The Way Station,413 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.thewaystationbk.com,,,info@thewaystationbk.com,Geeky bar with live music. Solo/duo friendly.
132,Barbès,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,booking@barbesbrooklyn.com,World music/blues bar. Send streamable link.
133,Union Pool,484 Union Ave,Brooklyn (Williamsburg),FIT,https://www.unionpool.com,,,info@unionpool.com,Rock/indie venue with bar. Trio/full band.
134,The Bell House,149 7th St,Brooklyn (Gowanus),FIT,https://www.thebellhouseny.com,,,info@thebellhouseny.com,Brooklyn live music venue. Two rooms.
135,Music Hall of Williamsburg,66 N 6th St,Brooklyn (Williamsburg),FIT,https://www.musichallofwilliamsburg.com,,,booking@musichallofwilliamsburg.com,Major venue. National acts.
136,Baby's All Right,146 Broadway,Brooklyn (Williamsburg),FIT,https://www.babysallright.com,,,booking@babysallright.com,Indie venue/restaurant. Eclectic bookings.
137,Rough Trade NYC,64 N 9th St,Brooklyn (Williamsburg),FIT,https://www.roughtradenyc.com,,,events@roughtradenyc.com,Record store/venue. Live performances.
138,The Knitting Factory,361 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.knittingfactory.com,,,booking@knittingfactory.com,Multi-genre venue. Live music nightly.
139,Brooklyn Bowl,61 Wythe Ave,Brooklyn (Williamsburg),FIT,https://www.brooklynbowl.com,,,booking@brooklynbowl.com,Bowling alley/venue. Live music and events.
140,Output,74 Wythe Ave,Brooklyn (Williamsburg),CLOSED,,,,,CLOSED - Was electronic music venue.
141,Glasslands Gallery,289 Kent Ave,Brooklyn (Williamsburg),CLOSED,,,,,CLOSED - Former DIY venue.
142,Death by Audio,49 S 2nd St,Brooklyn (Williamsburg),CLOSED,,,,,CLOSED - Former DIY venue.
143,The Gutter,200 N 14th St,Brooklyn (Williamsburg),FIT,https://www.thegutterbrooklyn.com,,,booking@thegutterbrooklyn.com,Bowling alley/bar. Live music occasionally.
144,Santos Party House,96 Lafayette St,Manhattan (Chinatown),CLOSED,,,,,CLOSED - Was multi-level venue.
145,The Delancey,168 Delancey St,Manhattan (Lower East Side),FIT,https://www.thedelancey.com,,,booking@thedelancey.com,Three-level venue. Live music on roof.
146,Rockwood Music Hall,196 Allen St,Manhattan (Lower East Side),FIT,https://www.rockwoodmusichall.com,,,info@rockwoodmusichall.com,Three stages. Stage 3 best for one-man shows.
147,The Living Room,154 Ludlow St,Manhattan (Lower East Side),CLOSED,,,,,CLOSED - Was singer-songwriter venue. Reopened elsewhere?
148,Pianos,158 Ludlow St,Manhattan (Lower East Side),FIT,https://www.pianosnyc.com,,,booking@pianosnyc.com,Multi-stage indie room. Cosmic Ray played here.
149,Arlene's Grocery,95 Stanton St,Manhattan (Lower East Side),FIT,https://www.arlenesgrocery.com,,,info@arlenesgrocery.net,Live music venue. Rock/indie focus.
150,The Bitter End,147 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.bitterend.com,,,info@bitterend.com,Iconic live room. Info@ for booking.
