rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
33,Berlin,25 Avenue A,Manhattan (East Village),FIT,https://berlin.nyc,CONTACTED,2026-07-15,berlinundera@gmail.com,"Berlin Under A. Downstairs at 2A Bar. Live music venue, state-of-the-art sound, full backline. Perfect for cosmic blues. Use: berlinundera@gmail.com"
34,Bowery Palace,[NEED ADDRESS],Manhattan,FIT,https://www.bowerypalace.com,CONTACTED,2026-07-15,booking@bowerypalace.com,"Formerly Bowery Electric. Alt: booking@theboweryelectric.com. Website minimal. Need: address, phone."
35,Hard Rock Cafe NYC,1501 Broadway,Manhattan (Times Square),FIT,https://www.hardrock.com/cafes/new-york/,CONTACTED,2026-07-15,newyork.rocks@hardrock.com,"Times Square location with live music stage. Contact: newyork.rocks@hardrock.com OR New_York_Social@hardrock.com"
36,Fat Black Pussycat,130 W 3rd St,Manhattan (Greenwich Village),FIT,https://www.fatblackpussycat.com,CONTACTED,2026-07-15,info@fatblackpussycat.com,Historic Village bar with live blues/jazz. Small stage. Contact via email or walk-in.
37,Connolly's,121 W 45th St,Manhattan (Times Square),FIT,https://www.connollysnyc.com,CONTACTED,2026-07-15,manager@connollyscorner.com,Irish pub with live music nightly. Multiple rooms. Contact: manager@connollyscorner.com for bookings.
38,Irish Exit,978 2nd Ave,Manhattan (Midtown East),FIT,,CONTACTED,2026-07-15,hello@irishexit.com,"Midtown Irish pub with live music. Contact: hello@irishexit.com OR victoria@irishexitnyc.com for private events."
39,Plug Uglies,257 3rd Ave,Manhattan (Gramercy),FIT,https://www.plugugliesnyc.com,CONTACTED,2026-07-15,info@plugugliesnyc.com,Gramercy pub with live music. Contact for acoustic/blues sets.
40,The Craic,60 W 39th St,Manhattan (Midtown),FIT,https://www.thecraicnyc.com,CONTACTED,2026-07-15,info@thecraicnyc.com,Midtown Irish pub with live music. Call or email for booking info.
41,12th Street Ale House,192 3rd Ave,Manhattan (Gramercy),CLOSED,,,,,"PERMANENTLY CLOSED - Do not contact."
42,Gaffers Pub,154 E 55th St,Manhattan (Midtown),FIT,,CONTACTED,2026-07-15,info@gafferspub.com,Midtown pub with live music. Email for booking.
43,The Long Room,58 W 39th St,Manhattan (Midtown),FIT,https://www.thelongroomnyc.com,CONTACTED,2026-07-15,info@thelongroomnyc.com,Midtown Irish pub with live music. Contact via email.
44,Brady's Bar,158 E 33rd St,Manhattan (Midtown),FIT,,CONTACTED,2026-07-15,bradysbar-82@live.com,"Neighborhood Irish pub with live music. Contact: bradysbar-82@live.com OR via their contact form."
45,The Whiskey Ward,121 Essex St,Manhattan (Lower East Side),FIT,,CONTACTED,2026-07-15,info@thewhiskeyward.com,Lower East Side whiskey bar with live music. Contact for blues/rock slots.
46,Fontana's,122 Eldridge St,Manhattan (Lower East Side),FIT,,CONTACTED,2026-07-15,info@fontanasnyc.com,Historic LES venue with live music. Email for booking info.
47,National Underground,159 E Houston St,Manhattan (Lower East Side),FIT,https://www.nationalunderground.com,CONTACTED,2026-07-15,info@nationalunderground.com,Live music venue and bar. Americana/blues focus. Contact via email.
48,The Back Room,102 Norfolk St,Manhattan (Lower East Side),FIT,https://www.thebackroomnyc.com,CONTACTED,2026-07-15,info@thebackroomnyc.com,Speakeasy-style bar with live music. Inquire about jazz/blues nights.
49,Le Poisson Rouge,158 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.lepoissonrouge.com,CONTACTED,2026-07-15,info@lepoissonrouge.com,Multi-genre music venue. Hard booking but worth trying. Use info@ for inquiries.
50,Joe's Pub,425 Lafayette St,Manhattan (East Village),FIT,https://www.joespub.com,CONTACTED,2026-07-15,info@joespub.com,Intimate venue at The Public Theater. Professional booking.
51,The Django,2 Avenue of the Americas,Manhattan (Tribeca),FIT,https://www.2dtnyc.com,,,info@2dtnyc.com,"Jazz club under the Roxy Hotel. Live music nightly. Contact info@ for booking."
52,The Django at the Roxy,2 6th Ave,Manhattan (Tribeca),FIT,https://www.theroxyhotel.com/django,,,django@theroxyhotel.com,"Jazz club in Roxy Hotel. Booking: django@theroxyhotel.com"
53,Hotel Chantelle,92 Ludlow St,Manhattan (Lower East Side),FIT,https://www.hotelchantelle.com,,,info@hotelchantelle.com,Rooftop bar with live music. French-American venue.
54,Montero Bar,73 Atlantic Ave,Brooklyn (Brooklyn Heights),FIT,,,,info@monterosbar.com,Long-standing Brooklyn dive bar. Live music occasionally.
55,Little Branch,20 7th Ave S,Manhattan (West Village),FIT,,,,info@littlebranch.net,Speakeasy-style cocktail bar. Occasional live jazz.
56,Ear Inn,326 Spring St,Manhattan (Soho),FIT,https://www.earinn.com,,,info@earinn.com,Historic bar with live music. Blues/jazz/roots focus.
57,Sunshine Laundromat,925 Fulton St,Brooklyn (Clinton Hill),FIT,https://www.sunshinelaundromatbk.com,,,info@sunshinelaundromatbk.com,Bar/laundromat with live music. Hipster spot.
58,The Commodore,366 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.commodoreny.com,,,info@commodoreny.com,Bar with live music. Southern comfort food.
59,Skinny Dennis,152 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.skinnydennis.com,,,booking@skinnydennisbrooklyn.com,"Honky-tonk bar, country/blues focus. Already in list but worth re-contacting."
60,Freddy's Bar,627 5th Ave,Brooklyn (Park Slope),FIT,https://www.freddysbar.com,,,info@freddysbar.com,Neighborhood bar with live music. Eclectic bookings.
61,Barbes,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,BarbesBookings@gmail.com,"Already contacted. World music/blues bar. Send streamable link."
62,Hank's Saloon,345 Atlantic Ave,Brooklyn (Boerum Hill),CLOSED,,,,,"CLOSED - Was legendary dive bar with live country/blues."
63,Branded Saloon,603 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.brandedsaloon.com,,,info@brandedsaloon.com,Wild West themed bar with live music. Americana/roots.
64,The Way Station,413 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.thewaystationbk.com,,,info@thewaystationbk.com,"Already contacted. Geeky bar with live music. TARDIS bathroom."
65,Lowlands,543 3rd Ave,Brooklyn (Gowanus),FIT,https://www.lowlandsbar.com,,,info@lowlandsbar.com,Gowanus bar with live music. Americana focus.
66,The Bell House,149 7th St,Brooklyn (Gowanus),FIT,https://www.thebellhouseny.com,,,info@thebellhouseny.com,"Already contacted. Large venue with two rooms."
67,Union Hall,702 Union St,Brooklyn (Park Slope),FIT,https://www.unionhallny.com,,,info@unionhallny.com,"Live music venue downstairs, bar upstairs. Bocce courts."
68,The Rock Shop,249 4th Ave,Brooklyn (Park Slope),FIT,,,,info@therockshopny.com,Live music venue. Indie rock but books blues too.
69,Barbès,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,BarbesBookings@gmail.com,Duplicate entry - same as #61.
70,Shrine,2271 Adam Clayton Powell Jr Blvd,Manhattan (Harlem),FIT,https://www.shrinenyc.com,,,info@shrinenyc.com,"Harlem world music/jazz venue. Intimate space."
71,Ginny's Supper Club,310 Lenox Ave,Manhattan (Harlem),FIT,https://www.ginnyssupperclub.com,,,info@redroosterharlem.com,"Harlem supper club below Red Rooster. Jazz/blues/soul."
72,Silvana,300 W 116th St,Manhattan (Harlem),FIT,https://www.silvana-nyc.com,,,info@silvana-nyc.com,Harlem bar/cafe with live music. Intimate upstairs venue.
73,The Cecil,210 W 118th St,Manhattan (Harlem),CLOSED,,,,,"CLOSED - Was upscale Harlem restaurant with jazz."
74,Minton's Playhouse,206 W 118th St,Manhattan (Harlem),FIT,https://www.mintonsplayhouse.com,,,info@mintonsplayhouse.com,"Historic Harlem jazz club. Hard booking. Bebop birthplace."
75,Smoke Jazz Club,2751 Broadway,Manhattan (Upper West Side),FIT,https://www.smokejazz.com,,,smokejazzclub@smokejazz.com,"Already contacted. Jazz club with supper."
76,Alice's Tea Cup,102 W 73rd St,Manhattan (Upper West Side),FIT,,,,info@alicesteacup.com,"Multiple locations. May not book live music. Verify first."
77,Prohibition,503 Columbus Ave,Manhattan (Upper West Side),FIT,https://www.prohibitionnyc.com,,,info@prohibitionnyc.com,"Upper West Side bar/restaurant. Live music some nights."
78,Jake's Dilemma,429 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.jakesdilemma.com,,,info@jakesdilemma.com,"College bar. Occasional live music. Lower priority."
79,The Dead Poet,450 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.thedeadpoguet.com,,,info@thedeadpoguet.com,"Literary themed bar. Occasional acoustic nights."
80,Amity Hall,982 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.amityhalluptown.com,,,info@amityhalluptown.com,"Bar with live music. College crowd."
81,Refinery Rooftop,63 W 38th St,Manhattan (Midtown),FIT,https://www.therefineryrooftop.com,,,info@therefineryrooftop.com,"Hotel rooftop bar. Occasional live music."
82,The Press Lounge,653 11th Ave,Manhattan (Hell's Kitchen),FIT,https://www.thepresslounge.com,,,info@thepresslounge.com,"Ink48 Hotel rooftop. Jazz/brunch sometimes."
83,Piano's,158 Ludlow St,Manhattan (Lower East Side),FIT,https://www.pianosnyc.com,,,booking@pianosnyc.com,"Already contacted. Multi-stage indie room."
84,The Delancey,168 Delancey St,Manhattan (Lower East Side),FIT,https://www.thedelancey.com,,,info@thedelancey.com,"Bar with live music. Three levels including rooftop."
85,Beauty Bar,231 E 14th St,Manhattan (East Village),FIT,https://www.beautybar.com,,,info@beautybar.com,"Salon-themed bar. DJs more than live but worth trying."
86,Niagara,112 Avenue A,Manhattan (East Village),FIT,,,,info@niagaranyc.com,Dive bar with occasional live music.
87,Iggy's,132 Ludlow St,Manhattan (Lower East Side),FIT,,,,info@iggysnyc.com,"Karaoke/live music. Occasional bands."
88,Arlene's Grocery,95 Stanton St,Manhattan (Lower East Side),FIT,https://www.arlenesgrocery.com,,,info@arlenesgrocery.net,"Already contacted. Rock venue."
89,Cake Shop,152 Ludlow St,Manhattan (Lower East Side),CLOSED,,,,,"CLOSED - Was iconic DIY venue/cafe."
90,Rockwood Music Hall,196 Allen St,Manhattan (Lower East Side),FIT,https://www.rockwoodmusichall.com,,,info@rockwoodmusichall.com,"Already contacted. Three stages."
91,The Living Room,134 Metropolitan Ave,Brooklyn (Williamsburg),CLOSED,,,,,"CLOSED - Was legendary songwriter venue."
92,Mike's Piano Bar,1584 Second Ave,Manhattan (Upper East Side),FIT,,,,info@mikespianobar.com,Upper East Side piano bar. May book solo acts.
93,Brandy's Piano Bar,235 E 84th St,Manhattan (Upper East Side),FIT,https://www.brandysnyc.com,,,info@brandysnyc.com,"Piano bar, Broadway crowd. Solo piano/vocal."
94,Don't Tell Mama,343 W 46th St,Manhattan (Theater District),FIT,https://www.donttellmamanyc.com,,,info@donttellmamanyc.com,"Theater district piano bar. Cabaret/open mic."
95,Marie's Crisis,59 Grove St,Manhattan (Greenwich Village),FIT,,,,info@mariescrisis.com,"Legendary sing-along piano bar. Not typical booking."
96,Rise Bar,859 9th Ave,Manhattan (Hell's Kitchen),FIT,https://www.risebarnyc.com,,,info@risebarnyc.com,"Piano bar, mostly drag shows but occasional live music."
97,Sidewalk Cafe,94 Avenue A,Manhattan (East Village),FIT,https://www.sidewalknyc.com,,,booking@sidewalkny.com,"Already contacted. Antifolk/roots."
98,Manhattan Inn,632 Manhattan Ave,Brooklyn (Greenpoint),CLOSED,,,,,"CLOSED - Was Greenpoint venue with piano."
99,The Gibson,108 Bedford Ave,Brooklyn (Williamsburg),FIT,https://www.thegibsonbk.com,,,info@thegibsonbk.com,"Williamsburg cocktail bar. Occasional live music."
