outlet_name,category,contact_name,email,website,location,submission_method,submission_email,notes
"Bandana Blues",Podcast,"Spinner","spinner@bandanablues.com","https://beardo1.libsyn.com/","Netherlands","Email music submission","spinner@bandanablues.com","Hosted by Spinner (from The Hague). 21st century blues with nod to masters. Weekly since 2005. Apple 4.6/5."
"Blues Moose Radio",Podcast,,"info@bluesmoose.nl","https://www.bluesmoose.nl/","Netherlands","Email music submission","info@bluesmoose.nl","Dutch blues radio show since 2004. Live recordings, interviews. Also on FM and YouTube. Apple 4.9/5."
"Pacific Street Blues & Americana",Podcast,"Rick Galusha","rickgalusha@gmail.com","https://www.podomatic.com/podcasts/kiwrblues","Nebraska USA","Email music submission","rickgalusha@gmail.com","Host: Rick Galusha. Nebraska Music Hall of Fame, Iowa Rock n Roll Hall of Fame. Blues Foundation Keeping the Blues Alive recipient."
"All Things Blues And Southern Rock",Podcast,,"info@allthingsbluesandsouthernrock.com","https://allthingsbluesandsouthernrock.com/","USA","Email music submission","info@allthingsbluesandsouthernrock.com","Interviews with musicians, fans, promoters about blues and southern rock."
"Talkin' Blues",Podcast,,"info@talkinblues.com","https://talkinblues.podbean.com/","Canada","Email music submission","info@talkinblues.com","Blues conversations and interviews. Canadian blues coverage."
"Blues Radio International",Radio,,"info@bluesradiointernational.net","https://bluesradiointernational.net/","USA","Email music submission","info@bluesradiointernational.net","Live blues on shortwave + internet. Listeners in 184 countries. Live music and interviews from Blues Music Awards."
"Global Blues Radio",Radio,,"globalbluesradio@gmail.com","https://www.globalbluesradio.com/","USA","Email + contact form","globalbluesradio@gmail.com","Accepts blues content: concert reviews, articles, opinion pieces. Email submissions. Also plays submitted music."
"Something Blue (Delta Boogie)",Radio,,"info@sbblues.com","https://sbblues.com/","USA","Email music submission","info@sbblues.com","Accepts original songs for podcast + Delta Boogie Radio. No covers. Email to submit."
"Don's Tunes",YouTube/Promotion,,"don@donstunes.com","https://www.donstunes.com/","USA","Web form submission","don@donstunes.com","#1 blues & jazz promotional website. YouTube channel + Spotify playlists. Submit via website form to get featured."
"I Love Blues Guitar",Blog/YouTube,,"admin@ilovebluesguitar.com","https://ilovebluesguitar.com/","USA","Email press release","admin@ilovebluesguitar.com","Blues guitar tips, news, anything blues related. Accepts content submissions."
"BluesMen Channel",YouTube,,"info@bluesmenchannel.com","https://www.youtube.com/channel/UCvVGF3Jk9L95JVgsxplWJDw","USA","Email music submission","info@bluesmenchannel.com","Blues rock internet radio + YouTube channel since 2016."
"Blues Lounge",YouTube,,"info@bluesloungemusic.com","https://www.youtube.com/@BluesLoungeMusic/","USA","Email music submission","info@bluesloungemusic.com","Blues music YouTube channel."
"The Country Blues",Blog/Podcast,,"info@thecountryblues.com","https://www.thecountryblues.com/","USA","Email music submission","info@thecountryblues.com","Directory of contemporary acoustic and traditional blues musicians. Podcast guide."
"Blues Music Now",Blog,,"info@bluesmusicnow.com","https://bluesmusicnow.com/","USA","Email press release","info@bluesmusicnow.com","Blues news, artist profiles, album reviews, concert news."
"Blues Bytes",Blog,,"info@bluesbytes.com","https://bluesbytes.com/","USA","Email press release","info@bluesbytes.com","Blues music reviews and news."
"Twangville",Blog,,"info@twangville.com","https://twangville.com/","USA","Email press release","info@twangville.com","Americana, blues, rock blog. Album reviews."
"The Alternate Root",Blog,,"info@thealternateroot.com","https://thealternateroot.com/","USA","Email press release","info@thealternateroot.com","Roots music blog. Blues, Americana, rock."
"Making A Scene",Blog,,"info@makingascene.com","https://makingascene.com/","USA","Email press release","info@makingascene.com","Blues and roots music reviews and interviews."
"Blues Society of New York",Organization,,"info@bluesny.org","https://www.bluesny.org/","New York NY","Email + attend events","info@bluesny.org","NYC blues society. Events, artist features, community."
"NYC Blues Society",Organization,,"info@nycblues.com","https://nycblues.com/","New York NY","Email + attend events","info@nycblues.com","NYC blues community organization."
"Long Island Blues Society",Organization,,"info@libsblues.org","https://libsblues.org/","Long Island NY","Email + attend meetings","info@libsblues.org","Long Island blues community."
"New York Blues Hall of Fame",Organization,,"info@nyblueshalloffame.org","https://nyblueshalloffame.org/","New York NY","Email + nominate","info@nyblueshalloffame.org","NY Blues Hall of Fame. Induction ceremonies."
"Village Voice",Magazine,,"editor@villagevoice.com","https://www.villagevoice.com/","New York NY","Email press release","editor@villagevoice.com","NYC alt-weekly since 1955. Music coverage. Greenwich Village based."
"Gothamist",Digital Magazine,,"tips@gothamist.com","https://gothamist.com/","New York NY","Email press release","tips@gothamist.com","NYC non-profit local newsroom. Powered by WNYC. Arts & events coverage."
"Time Out New York",Magazine,,"editor@timeout.com","https://www.timeout.com/new-york","New York NY","Email press release","editor@timeout.com","NYC events, music, nightlife coverage. Large reach."
"Rolling Stone Music",Magazine,,"tips@rollingstone.com","https://www.rollingstone.com/music/","USA","Email press release","tips@rollingstone.com","Major music publication. Blues coverage when relevant."
"Brooklyn Vegan",Blog,,"tips@brooklynvegan.com","https://www.brooklynvegan.com/","Brooklyn NY","Email press release","tips@brooklynvegan.com","NYC music blog. Indie, rock, blues, live show coverage."
"Bedford + Bowery",Blog,,"editor@bedfordandbowery.com","https://www.bedfordandbowery.com/","New York NY","Email press release","editor@bedfordandbowery.com","Downtown NYC culture blog. Music, arts, events."
"Louder Than War",Blog/Magazine,,"info@louderthanwar.com","https://louderthanwar.com/","UK","Email press release","info@louderthanwar.com","UK music magazine. Blues reviews section. Covers blues from Delta to modern."
"Groover (Spotify Curators)",Platform,,"info@groover.co","https://groover.co/","USA","Web platform submission","info@groover.co","Submit music to Spotify playlist curators. Blues category available. Feedback guaranteed."
"PlaylistPartner",Platform,,"info@playlistpartner.com","https://playlistpartner.com/genre/jazz-blues","USA","Web form submission","info@playlistpartner.com","Free Spotify playlist submission. 261 jazz & blues playlists. No signup needed."
"DropTrack",Platform,,"info@droptrack.com","https://www.droptrack.com/spotify-playlist-curators/","USA","Web platform submission","info@droptrack.com","Spotify playlist curator contacts. Submit music to blues playlists."
"NYC Blues Jams (Facebook Group)",Social Media,,"https://www.facebook.com/groups/498825243481112/","https://www.facebook.com/groups/498825243481112/","New York NY","Facebook post","N/A","Active Facebook group for NYC blues jams. Post shows, gigs, events."
"NYC Blues (Facebook Group)",Social Media,,"https://www.facebook.com/groups/606301023783926/","https://www.facebook.com/groups/606301023783926/","New York NY","Facebook post","N/A","Facebook group for blues lovers and live blues in NYC."
"NY/NJ Blues Collective (Facebook Group)",Social Media,,"https://www.facebook.com/groups/211438065565842/","https://www.facebook.com/groups/211438065565842/","New York NY","Facebook post","N/A","NY/NJ blues community. Discuss shows, post events."
"Blues Dance New York",Organization,,"info@bluesdancenyc.com","https://www.expresstrackblues.com/","New York NY","Email + attend events","info@bluesdancenyc.com","Blues dance community NYC. Events, lessons, parties."
"Atlanta Blues Society",Organization,,"info@atlantabluessociety.org","https://atlantabluessociety.org/","Atlanta GA","Email press release","info@atlantabluessociety.org","Active blues society. Concert reviews, album reviews."
"Blues Foundation",Organization,,"info@blues.org","https://www.blues.org/","Memphis TN","Email + apply for awards","info@blues.org","Blues Music Awards, Blues Hall of Fame. Keeping the Blues Alive awards."
"Blues Matters (Spotify)",Spotify Curator,,"info@bluesmatters.com","https://open.spotify.com/","UK","Email + Spotify submission","info@bluesmatters.com","Blues Matters magazine also curates Spotify playlists."
"American Blues Scene (Spotify)",Spotify Curator,,"info@americanbluesscene.com","https://open.spotify.com/","USA","Email + Spotify submission","info@americanbluesscene.com","American Blues Scene curates blues Spotify playlists."
"Level Up Blues (TikTok)",Social Media,,"@levelupblues","https://www.tiktok.com/@levelupblues","USA","TikTok DM","N/A","Blues guitar TikTok creator. 10K+ followers. Growing blues community."
